"V1","V2"
"DNAH8","MKI67"
"DNAH8","TTLL3"
"DNAH8","CCDC171"
"DNAH8","MAP1A"
"DNAH8","TCTE3"
"DNAH8","SFI1"
"DNAH8","MTUS1"
"DNAH8","PPP2R3A"
"DNAH8","NUMA1"
"DNAH8","DNAH11"
"DNAH8","LRGUK"
"MKI67","TTLL3"
"MKI67","CCDC171"
"MKI67","MAP1A"
"MKI67","TCTE3"
"MKI67","SFI1"
"MKI67","MTUS1"
"MKI67","PPP2R3A"
"MKI67","NUMA1"
"MKI67","DNAH11"
"MKI67","LRGUK"
"TTLL3","CCDC171"
"TTLL3","MAP1A"
"TTLL3","TCTE3"
"TTLL3","SFI1"
"TTLL3","MTUS1"
"TTLL3","PPP2R3A"
"TTLL3","NUMA1"
"TTLL3","DNAH11"
"TTLL3","LRGUK"
"CCDC171","MAP1A"
"CCDC171","TCTE3"
"CCDC171","SFI1"
"CCDC171","MTUS1"
"CCDC171","PPP2R3A"
"CCDC171","NUMA1"
"CCDC171","DNAH11"
"CCDC171","LRGUK"
"MAP1A","TCTE3"
"MAP1A","SFI1"
"MAP1A","MTUS1"
"MAP1A","PPP2R3A"
"MAP1A","NUMA1"
"MAP1A","DNAH11"
"MAP1A","LRGUK"
"TCTE3","SFI1"
"TCTE3","MTUS1"
"TCTE3","PPP2R3A"
"TCTE3","NUMA1"
"TCTE3","DNAH11"
"TCTE3","LRGUK"
"KRT6A","FLG"
"KRT6A","KRT23"
"FLG","KRT23"
"COL6A5","ITIH5"
"COL6A5","LAMA5"
"COL6A5","TLL2"
"COL6A5","MCAM"
"COL6A5","HMCN1"
"COL6A5","ADAMTS9"
"COL6A5","LAMB4"
"COL6A5","ADAM28"
"COL6A5","AGRN"
"COL6A5","COL13A1"
"COL6A5","LAMB2"
"COL6A5","LRP4"
"COL6A5","PLEC"
"COL6A5","MSR1"
"ITIH5","LAMA5"
"ITIH5","TLL2"
"ITIH5","MCAM"
"ITIH5","HMCN1"
"ITIH5","ADAMTS9"
"ITIH5","LAMB4"
"ITIH5","ADAM28"
"ITIH5","AGRN"
"ITIH5","COL13A1"
"ITIH5","LAMB2"
"ITIH5","LRP4"
"ITIH5","PLEC"
"ITIH5","MSR1"
"LAMA5","TLL2"
"LAMA5","MCAM"
"LAMA5","HMCN1"
"LAMA5","ADAMTS9"
"LAMA5","LAMB4"
"LAMA5","ADAM28"
"LAMA5","AGRN"
"LAMA5","COL13A1"
"LAMA5","LAMB2"
"LAMA5","LRP4"
"LAMA5","PLEC"
"LAMA5","MSR1"
"SFI1","MTUS1"
"SFI1","PPP2R3A"
"SFI1","NUMA1"
"SFI1","DNAH11"
"SFI1","LRGUK"
"TLL2","MCAM"
"TLL2","HMCN1"
"TLL2","ADAMTS9"
"TLL2","LAMB4"
"TLL2","ADAM28"
"TLL2","AGRN"
"TLL2","COL13A1"
"TLL2","LAMB2"
"TLL2","LRP4"
"TLL2","PLEC"
"TLL2","MSR1"
"ASB10","TTC3"
"ASB10","LMO7"
"TTC3","LMO7"
"ADAM8","BIN2"
"ADAM8","MAMDC4"
"ADAM8","FLG2"
"ADAM8","SYNGR1"
"BIN2","MAMDC4"
"BIN2","FLG2"
"BIN2","SYNGR1"
"MTUS1","PPP2R3A"
"MTUS1","NUMA1"
"MTUS1","DNAH11"
"MTUS1","LRGUK"
"PMS2","POLE"
"PMS2","POLQ"
"POLE","POLQ"
"BMS1","DDX55"
"BMS1","CFAP46"
"BMS1","DDX52"
"DDX55","CFAP46"
"DDX55","DDX52"
"PPP2R3A","NUMA1"
"PPP2R3A","DNAH11"
"PPP2R3A","LRGUK"
"MAMDC4","FLG2"
"MAMDC4","SYNGR1"
"MCAM","HMCN1"
"MCAM","ADAMTS9"
"MCAM","LAMB4"
"MCAM","ADAM28"
"MCAM","AGRN"
"MCAM","COL13A1"
"MCAM","LAMB2"
"MCAM","LRP4"
"MCAM","PLEC"
"MCAM","MSR1"
"SH3PXD2B","MYO15B"
"PKD1","PCDHGA6"
"EPS8","SPTA1"
"CFAP46","DDX52"
"FLG2","SYNGR1"
"HMCN1","ADAMTS9"
"HMCN1","LAMB4"
"HMCN1","ADAM28"
"HMCN1","AGRN"
"HMCN1","COL13A1"
"HMCN1","LAMB2"
"HMCN1","LRP4"
"HMCN1","PLEC"
"HMCN1","MSR1"
"CHD6","PADI3"
"CHD6","REST"
"CHD6","ELP1"
"CHD6","TADA2A"
"PADI3","REST"
"PADI3","ELP1"
"PADI3","TADA2A"
"USP17L2","USP20"
"ADAMTS9","LAMB4"
"ADAMTS9","ADAM28"
"ADAMTS9","AGRN"
"ADAMTS9","COL13A1"
"ADAMTS9","LAMB2"
"ADAMTS9","LRP4"
"ADAMTS9","PLEC"
"ADAMTS9","MSR1"
"REST","ELP1"
"REST","TADA2A"
"MROH5","VTCN1"
"MROH5","PKD1L2"
"VTCN1","PKD1L2"
"LAMB4","ADAM28"
"LAMB4","AGRN"
"LAMB4","COL13A1"
