V1,V2
AGRN,HSPG2
AGRN,LOXL3
AGRN,TNXB
AGRN,CHGB
AGRN,COL15A1
AGRN,LAMA2
AGRN,TNC
AGRN,COL13A1
AGRN,LAMA5
AGRN,LAMB2
AGRN,LRP4
AGRN,PLEC
AGRN,USH2A
AGRN,LTBP1
AGRN,EGFL7
AGRN,CD163L1
HSPG2,LOXL3
HSPG2,TNXB
HSPG2,CHGB
HSPG2,COL15A1
HSPG2,LAMA2
HSPG2,TNC
HSPG2,COL13A1
HSPG2,LAMA5
HSPG2,LAMB2
HSPG2,LRP4
HSPG2,PLEC
HSPG2,USH2A
HSPG2,LTBP1
HSPG2,EGFL7
HSPG2,CD163L1
LOXL3,TNXB
LOXL3,CHGB
LOXL3,COL15A1
LOXL3,LAMA2
LOXL3,TNC
LOXL3,COL13A1
LOXL3,LAMA5
LOXL3,LAMB2
LOXL3,LRP4
LOXL3,PLEC
LOXL3,USH2A
LOXL3,LTBP1
LOXL3,EGFL7
LOXL3,CD163L1
TNXB,CHGB
TNXB,COL15A1
TNXB,LAMA2
TNXB,TNC
TNXB,COL13A1
TNXB,LAMA5
TNXB,LAMB2
TNXB,LRP4
TNXB,PLEC
TNXB,USH2A
TNXB,LTBP1
TNXB,EGFL7
TNXB,CD163L1
CHGB,COL15A1
CHGB,LAMA2
CHGB,TNC
CHGB,COL13A1
CHGB,LAMA5
CHGB,LAMB2
CHGB,LRP4
CHGB,PLEC
CHGB,USH2A
CHGB,LTBP1
CHGB,EGFL7
CHGB,CD163L1
COL15A1,LAMA2
COL15A1,TNC
COL15A1,COL13A1
COL15A1,LAMA5
COL15A1,LAMB2
COL15A1,LRP4
COL15A1,PLEC
COL15A1,USH2A
COL15A1,LTBP1
COL15A1,EGFL7
COL15A1,CD163L1
LAMA2,TNC
LAMA2,COL13A1
LAMA2,LAMA5
LAMA2,LAMB2
LAMA2,LRP4
LAMA2,PLEC
LAMA2,USH2A
LAMA2,LTBP1
LAMA2,EGFL7
LAMA2,CD163L1
TNC,COL13A1
TNC,LAMA5
TNC,LAMB2
TNC,LRP4
TNC,PLEC
TNC,USH2A
TNC,LTBP1
TNC,EGFL7
TNC,CD163L1
COL13A1,LAMA5
COL13A1,LAMB2
COL13A1,LRP4
COL13A1,PLEC
COL13A1,USH2A
COL13A1,LTBP1
COL13A1,EGFL7
COL13A1,CD163L1
LAMA5,LAMB2
LAMA5,LRP4
LAMA5,PLEC
LAMA5,USH2A
LAMA5,LTBP1
LAMA5,EGFL7
LAMA5,CD163L1
LAMB2,LRP4
LAMB2,PLEC
LAMB2,USH2A
LAMB2,LTBP1
LAMB2,EGFL7
LAMB2,CD163L1
LRP4,PLEC
LRP4,USH2A
LRP4,LTBP1
LRP4,EGFL7
LRP4,CD163L1
PLEC,USH2A
PLEC,LTBP1
PLEC,EGFL7
PLEC,CD163L1
USH2A,LTBP1
USH2A,EGFL7
USH2A,CD163L1
LTBP1,EGFL7
LTBP1,CD163L1
EGFL7,CD163L1
KRT79,RPTN
RAD51AP1,MCM8
DNAH7,C2CD3
DNAH7,DNAAF1
C2CD3,DNAAF1
SMTN,MYH15
SRMS,DNAH17
CASP5,CASP12
DMXL2,UNC13C
DMXL2,BAIAP3
DMXL2,UNC13B
UNC13C,BAIAP3
UNC13C,UNC13B
BAIAP3,UNC13B
LILRA1,CFB
LILRA1,SIGLEC12
CFB,SIGLEC12
LRP2,VWA5B2
LRP2,SYT2
VWA5B2,SYT2
NAT8B,GATAD2B
RPL3L,HEATR1
RPL3L,RPL23
RPL3L,MSI1
HEATR1,RPL23
HEATR1,MSI1
RPL23,MSI1
SLC28A1,SLC5A7
ZNF778,ZNF273
CDH23,CDH3
TIAM1,MYO9A
WDSUB1,UBE2D1
ALG14,DPAGT1
CHRNA1,CHRNB1
CHRNA1,CHRNE
CHRNA1,CHRNG
CHRNB1,CHRNE
CHRNB1,CHRNG
CHRNE,CHRNG
TPCN2,CLCNKB
AGRN,HSPG2
AGRN,LOXL3
AGRN,TNXB
AGRN,CHGB
AGRN,COL15A1
AGRN,LAMA2
AGRN,TNC
AGRN,COL13A1
AGRN,LAMA5
AGRN,LAMB2
AGRN,LRP4
AGRN,PLEC
AGRN,USH2A
AGRN,MFAP2
AGRN,ITGB6
AGRN,COL4A1
AGRN,BMP1
AGRN,ITGB1
AGRN,COL4A2
AGRN,COL1A2
AGRN,COL4A3
AGRN,FBN1
AGRN,ITGA5
AGRN,ITGB3
AGRN,COL4A4
AGRN,ELN
AGRN,COL4A6
AGRN,FBN2
AGRN,TLL1
AGRN,PCOLCE
AGRN,MFAP5
AGRN,FBN3
AGRN,TLL2
AGRN,FBLN5
AGRN,LOX
AGRN,LOXL4
AGRN,LOXL1
HSPG2,LOXL3
HSPG2,TNXB
HSPG2,CHGB
HSPG2,COL15A1
HSPG2,LAMA2
HSPG2,TNC
HSPG2,COL13A1
HSPG2,LAMA5
HSPG2,LAMB2
HSPG2,LRP4
HSPG2,PLEC
HSPG2,USH2A
HSPG2,MFAP2
HSPG2,ITGB6
HSPG2,COL4A1
HSPG2,BMP1
HSPG2,ITGB1
HSPG2,COL4A2
HSPG2,COL1A2
HSPG2,COL4A3
HSPG2,FBN1
HSPG2,ITGA5
HSPG2,ITGB3
HSPG2,COL4A4
HSPG2,ELN
HSPG2,COL4A6
HSPG2,FBN2
HSPG2,TLL1
HSPG2,PCOLCE
HSPG2,MFAP5
HSPG2,FBN3
HSPG2,TLL2
HSPG2,FBLN5
HSPG2,LOX
HSPG2,LOXL4
HSPG2,LOXL1
LOXL3,TNXB
LOXL3,CHGB
LOXL3,COL15A1
LOXL3,LAMA2
LOXL3,TNC
LOXL3,COL13A1
LOXL3,LAMA5
LOXL3,LAMB2
LOXL3,LRP4
LOXL3,PLEC
LOXL3,USH2A
LOXL3,MFAP2
LOXL3,ITGB6
LOXL3,COL4A1
LOXL3,BMP1
LOXL3,ITGB1
LOXL3,COL4A2
LOXL3,COL1A2
LOXL3,COL4A3
LOXL3,FBN1
LOXL3,ITGA5
LOXL3,ITGB3
LOXL3,COL4A4
LOXL3,ELN
LOXL3,COL4A6
LOXL3,FBN2
LOXL3,TLL1
LOXL3,PCOLCE
LOXL3,MFAP5
LOXL3,FBN3
LOXL3,TLL2
LOXL3,FBLN5
LOXL3,LOX
LOXL3,LOXL4
LOXL3,LOXL1
TNXB,CHGB
TNXB,COL15A1
TNXB,LAMA2
TNXB,TNC
TNXB,COL13A1
TNXB,LAMA5
TNXB,LAMB2
TNXB,LRP4
TNXB,PLEC
TNXB,USH2A
TNXB,MFAP2
TNXB,ITGB6
TNXB,COL4A1
TNXB,BMP1
TNXB,ITGB1
TNXB,COL4A2
TNXB,COL1A2
TNXB,COL4A3
TNXB,FBN1
TNXB,ITGA5
TNXB,ITGB3
TNXB,COL4A4
TNXB,ELN
TNXB,COL4A6
TNXB,FBN2
TNXB,TLL1
TNXB,PCOLCE
TNXB,MFAP5
TNXB,FBN3
TNXB,TLL2
TNXB,FBLN5
TNXB,LOX
TNXB,LOXL4
TNXB,LOXL1
CHGB,COL15A1
CHGB,LAMA2
CHGB,TNC
CHGB,COL13A1
CHGB,LAMA5
CHGB,LAMB2
CHGB,LRP4
CHGB,PLEC
CHGB,USH2A
CHGB,MFAP2
CHGB,ITGB6
CHGB,COL4A1
CHGB,BMP1
CHGB,ITGB1
CHGB,COL4A2
CHGB,COL1A2
CHGB,COL4A3
CHGB,FBN1
CHGB,ITGA5
CHGB,ITGB3
CHGB,COL4A4
CHGB,ELN
CHGB,COL4A6
CHGB,FBN2
CHGB,TLL1
CHGB,PCOLCE
CHGB,MFAP5
CHGB,FBN3
CHGB,TLL2
CHGB,FBLN5
CHGB,LOX
CHGB,LOXL4
CHGB,LOXL1
COL15A1,LAMA2
COL15A1,TNC
COL15A1,COL13A1
COL15A1,LAMA5
COL15A1,LAMB2
COL15A1,LRP4
COL15A1,PLEC
COL15A1,USH2A
COL15A1,MFAP2
COL15A1,ITGB6
COL15A1,COL4A1
COL15A1,BMP1
COL15A1,ITGB1
COL15A1,COL4A2
COL15A1,COL1A2
COL15A1,COL4A3
COL15A1,FBN1
COL15A1,ITGA5
COL15A1,ITGB3
COL15A1,COL4A4
COL15A1,ELN
COL15A1,COL4A6
