"V1","V2"
"ASB10","LMAN1L"
"ASB10","PLIN4"
"ASB10","PLEKHA4"
"ASB10","CFAP57"
"ASB10","ALG2"
"ASB10","MYO9A"
"ASB10","RPH3A"
"ASB10","SYT2"
"ASB10","UNC13B"
"ASB10","VAMP1"
"ASB10","TBC1D3"
"LMAN1L","PLIN4"
"LMAN1L","PLEKHA4"
"LMAN1L","CFAP57"
"LMAN1L","ALG2"
"LMAN1L","MYO9A"
"LMAN1L","RPH3A"
"LMAN1L","SYT2"
"LMAN1L","UNC13B"
"LMAN1L","VAMP1"
"LMAN1L","TBC1D3"
"PLIN4","PLEKHA4"
"PLIN4","CFAP57"
"PLIN4","ALG2"
"PLIN4","MYO9A"
"PLIN4","RPH3A"
"PLIN4","SYT2"
"PLIN4","UNC13B"
"PLIN4","VAMP1"
"PLIN4","TBC1D3"
"PLEKHA4","CFAP57"
"PLEKHA4","ALG2"
"PLEKHA4","MYO9A"
"PLEKHA4","RPH3A"
"PLEKHA4","SYT2"
"PLEKHA4","UNC13B"
"PLEKHA4","VAMP1"
"PLEKHA4","TBC1D3"
"CFAP57","ALG2"
"CFAP57","MYO9A"
"CFAP57","RPH3A"
"CFAP57","SYT2"
"CFAP57","UNC13B"
"CFAP57","VAMP1"
"CFAP57","TBC1D3"
"ALG2","MYO9A"
"ALG2","RPH3A"
"ALG2","SYT2"
"ALG2","UNC13B"
"ALG2","VAMP1"
"ALG2","TBC1D3"
"MYO9A","RPH3A"
"MYO9A","SYT2"
"MYO9A","UNC13B"
"MYO9A","VAMP1"
"MYO9A","TBC1D3"
"RPH3A","SYT2"
"RPH3A","UNC13B"
"RPH3A","VAMP1"
"RPH3A","TBC1D3"
"SYT2","UNC13B"
"SYT2","VAMP1"
"SYT2","TBC1D3"
"UNC13B","VAMP1"
"UNC13B","TBC1D3"
"VAMP1","TBC1D3"
"DNAH8","MKI67"
"DNAH8","MAP1A"
"DNAH8","SFI1"
"DNAH8","TMTC1"
"DNAH8","MTUS1"
"DNAH8","PDE4DIP"
"DNAH8","PPP2R3A"
"DNAH8","ZNF836"
"DNAH8","SPATA6L"
"DNAH8","MINDY4"
"DNAH8","LURAP1"
"DNAH8","NUMA1"
"DNAH8","DNAH11"
"DNAH8","LRGUK"
"MKI67","MAP1A"
"MKI67","SFI1"
"MKI67","TMTC1"
"MKI67","MTUS1"
"MKI67","PDE4DIP"
"MKI67","PPP2R3A"
"MKI67","ZNF836"
"MKI67","SPATA6L"
"MKI67","MINDY4"
"MKI67","LURAP1"
"MKI67","NUMA1"
"MKI67","DNAH11"
"MKI67","LRGUK"
"MAP1A","SFI1"
"MAP1A","TMTC1"
"MAP1A","MTUS1"
"MAP1A","PDE4DIP"
"MAP1A","PPP2R3A"
"MAP1A","ZNF836"
"MAP1A","SPATA6L"
"MAP1A","MINDY4"
"MAP1A","LURAP1"
"MAP1A","NUMA1"
"MAP1A","DNAH11"
"MAP1A","LRGUK"
"SFI1","TMTC1"
"SFI1","MTUS1"
"SFI1","PDE4DIP"
"SFI1","PPP2R3A"
"SFI1","ZNF836"
"SFI1","SPATA6L"
"SFI1","MINDY4"
"SFI1","LURAP1"
"SFI1","NUMA1"
"SFI1","DNAH11"
"SFI1","LRGUK"
"TMTC1","MTUS1"
"TMTC1","PDE4DIP"
"TMTC1","PPP2R3A"
"TMTC1","ZNF836"
"TMTC1","SPATA6L"
"TMTC1","MINDY4"
"TMTC1","LURAP1"
"TMTC1","NUMA1"
"TMTC1","DNAH11"
"TMTC1","LRGUK"
"MTUS1","PDE4DIP"
"MTUS1","PPP2R3A"
"MTUS1","ZNF836"
"MTUS1","SPATA6L"
"MTUS1","MINDY4"
"MTUS1","LURAP1"
"MTUS1","NUMA1"
"MTUS1","DNAH11"
"MTUS1","LRGUK"
"PDE4DIP","PPP2R3A"
"PDE4DIP","ZNF836"
"PDE4DIP","SPATA6L"
"PDE4DIP","MINDY4"
"PDE4DIP","LURAP1"
"PDE4DIP","NUMA1"
"PDE4DIP","DNAH11"
"PDE4DIP","LRGUK"
"PPP2R3A","ZNF836"
"PPP2R3A","SPATA6L"
"PPP2R3A","MINDY4"
"PPP2R3A","LURAP1"
"PPP2R3A","NUMA1"
"PPP2R3A","DNAH11"
"PPP2R3A","LRGUK"
"ZNF836","SPATA6L"
"ZNF836","MINDY4"
"ZNF836","LURAP1"
"ZNF836","NUMA1"
"ZNF836","DNAH11"
