"V1","V2"
"KRT79","MICALL2"
"KRT79","RP1"
"KRT79","PTPN14"
"KRT79","SRMS"
"KRT79","PLB1"
"KRT79","SLC44A4"
"KRT79","SPTBN5"
"KRT79","VWA5B2"
"KRT79","TIAM1"
"KRT79","MUC4"
"KRT79","DNAH17"
"KRT79","PPFIBP2"
"KRT79","USP8"
"KRT79","ALG2"
"KRT79","CHAT"
"KRT79","DOK7"
"KRT79","MUSK"
"KRT79","MYO9A"
"KRT79","PLEC"
"MICALL2","RP1"
"MICALL2","PTPN14"
"MICALL2","SRMS"
"MICALL2","PLB1"
"MICALL2","SLC44A4"
"MICALL2","SPTBN5"
"MICALL2","VWA5B2"
"MICALL2","TIAM1"
"MICALL2","MUC4"
"MICALL2","DNAH17"
"MICALL2","PPFIBP2"
"MICALL2","USP8"
"MICALL2","ALG2"
"MICALL2","CHAT"
"MICALL2","DOK7"
"MICALL2","MUSK"
"MICALL2","MYO9A"
"MICALL2","PLEC"
"RP1","PTPN14"
"RP1","SRMS"
"RP1","PLB1"
"RP1","SLC44A4"
"RP1","SPTBN5"
"RP1","VWA5B2"
"RP1","TIAM1"
"RP1","MUC4"
"RP1","DNAH17"
"RP1","PPFIBP2"
"RP1","USP8"
"RP1","ALG2"
"RP1","CHAT"
"RP1","DOK7"
"RP1","MUSK"
"RP1","MYO9A"
"RP1","PLEC"
"PTPN14","SRMS"
"PTPN14","PLB1"
"PTPN14","SLC44A4"
"PTPN14","SPTBN5"
"PTPN14","VWA5B2"
"PTPN14","TIAM1"
"PTPN14","MUC4"
"PTPN14","DNAH17"
"PTPN14","PPFIBP2"
"PTPN14","USP8"
"PTPN14","ALG2"
"PTPN14","CHAT"
"PTPN14","DOK7"
"PTPN14","MUSK"
"PTPN14","MYO9A"
"PTPN14","PLEC"
"SRMS","PLB1"
"SRMS","SLC44A4"
"SRMS","SPTBN5"
"SRMS","VWA5B2"
"SRMS","TIAM1"
"SRMS","MUC4"
"SRMS","DNAH17"
"SRMS","PPFIBP2"
"SRMS","USP8"
"SRMS","ALG2"
"SRMS","CHAT"
"SRMS","DOK7"
"SRMS","MUSK"
"SRMS","MYO9A"
"SRMS","PLEC"
"PLB1","SLC44A4"
"PLB1","SPTBN5"
"PLB1","VWA5B2"
"PLB1","TIAM1"
"PLB1","MUC4"
"PLB1","DNAH17"
"PLB1","PPFIBP2"
"PLB1","USP8"
"PLB1","ALG2"
"PLB1","CHAT"
"PLB1","DOK7"
"PLB1","MUSK"
"PLB1","MYO9A"
"PLB1","PLEC"
"SLC44A4","SPTBN5"
"SLC44A4","VWA5B2"
"SLC44A4","TIAM1"
"SLC44A4","MUC4"
"SLC44A4","DNAH17"
"SLC44A4","PPFIBP2"
"SLC44A4","USP8"
"SLC44A4","ALG2"
"SLC44A4","CHAT"
"SLC44A4","DOK7"
"SLC44A4","MUSK"
"SLC44A4","MYO9A"
"SLC44A4","PLEC"
"SPTBN5","VWA5B2"
"SPTBN5","TIAM1"
"SPTBN5","MUC4"
"SPTBN5","DNAH17"
"SPTBN5","PPFIBP2"
"SPTBN5","USP8"
"SPTBN5","ALG2"
"SPTBN5","CHAT"
"SPTBN5","DOK7"
"SPTBN5","MUSK"
"SPTBN5","MYO9A"
"SPTBN5","PLEC"
"VWA5B2","TIAM1"
"VWA5B2","MUC4"
"VWA5B2","DNAH17"
"VWA5B2","PPFIBP2"
"VWA5B2","USP8"
"VWA5B2","ALG2"
"VWA5B2","CHAT"
"VWA5B2","DOK7"
"VWA5B2","MUSK"
"VWA5B2","MYO9A"
"VWA5B2","PLEC"
"TIAM1","MUC4"
"TIAM1","DNAH17"
"TIAM1","PPFIBP2"
"TIAM1","USP8"
"TIAM1","ALG2"
"TIAM1","CHAT"
"TIAM1","DOK7"
"TIAM1","MUSK"
"TIAM1","MYO9A"
"TIAM1","PLEC"
"MUC4","DNAH17"
"MUC4","PPFIBP2"
"MUC4","USP8"
"MUC4","ALG2"
"MUC4","CHAT"
"MUC4","DOK7"
"MUC4","MUSK"
"MUC4","MYO9A"
"MUC4","PLEC"
"DNAH17","PPFIBP2"
"DNAH17","USP8"
"DNAH17","ALG2"
"DNAH17","CHAT"
"DNAH17","DOK7"
"DNAH17","MUSK"
"DNAH17","MYO9A"
"DNAH17","PLEC"
"PPFIBP2","USP8"
"PPFIBP2","ALG2"
"PPFIBP2","CHAT"
"PPFIBP2","DOK7"
"PPFIBP2","MUSK"
"PPFIBP2","MYO9A"
"PPFIBP2","PLEC"
"USP8","ALG2"
"USP8","CHAT"
"USP8","DOK7"
"USP8","MUSK"
"USP8","MYO9A"
"USP8","PLEC"
"ALG2","CHAT"
"ALG2","DOK7"
"ALG2","MUSK"
"ALG2","MYO9A"
"ALG2","PLEC"
"CHAT","DOK7"
"CHAT","MUSK"
"CHAT","MYO9A"
"CHAT","PLEC"
"DOK7","MUSK"
"DOK7","MYO9A"
"DOK7","PLEC"
"MUSK","MYO9A"
"MUSK","PLEC"
"MYO9A","PLEC"
"KIF13B","RAD51AP1"
"KIF13B","DNAH7"
"KIF13B","NCKAP5L"
"KIF13B","MYO10"
"KIF13B","MCM8"
"KIF13B","DNAAF1"
"KIF13B","DNAH3"
"RAD51AP1","DNAH7"
"RAD51AP1","NCKAP5L"
"RAD51AP1","MYO10"
"RAD51AP1","MCM8"
"RAD51AP1","DNAAF1"
"RAD51AP1","DNAH3"
"DNAH7","NCKAP5L"
"DNAH7","MYO10"
"DNAH7","MCM8"
"DNAH7","DNAAF1"
