"V1","V2"
"ACAD10","DPYD"
"ACAD10","CHAT"
"ACAD10","GMPPB"
"ACAD10","SLC25A1"
"ACAD10","FGGY"
"ACAD10","PIGW"
"DPYD","CHAT"
"DPYD","GMPPB"
"DPYD","SLC25A1"
"DPYD","FGGY"
"DPYD","PIGW"
"CHAT","GMPPB"
"CHAT","SLC25A1"
"CHAT","FGGY"
"CHAT","PIGW"
"GMPPB","SLC25A1"
"GMPPB","FGGY"
"GMPPB","PIGW"
"SLC25A1","FGGY"
"SLC25A1","PIGW"
"FGGY","PIGW"
"AMDHD1","FASN"
"AMDHD1","PDPR"
"AMDHD1","CYP2A6"
"FASN","PDPR"
"FASN","CYP2A6"
"PDPR","CYP2A6"
"SLCO4A1","IP6K3"
"SLCO4A1","GFPT1"
"SLCO4A1","SLC18A3"
"SLCO4A1","SLC5A7"
"IP6K3","GFPT1"
"IP6K3","SLC18A3"
"IP6K3","SLC5A7"
"GFPT1","SLC18A3"
"GFPT1","SLC5A7"
"SLC18A3","SLC5A7"
