"V1","V2"
"ADAM8","BIN2"
"ADAM8","FLG2"
"ADAM8","SNAP25"
"ADAM8","SYNGR1"
"BIN2","FLG2"
"BIN2","SNAP25"
"BIN2","SYNGR1"
"FLG2","SNAP25"
"FLG2","SYNGR1"
"SNAP25","SYNGR1"
"OR52E6","OR4N2"
"SLC25A1","HNF1B"
"COL6A5","HLA-A"
"COL6A5","LAMA5"
"COL6A5","TLL2"
"COL6A5","ADAMTS9"
"COL6A5","CNTN3"
"COL6A5","AGRN"
"COL6A5","COL13A1"
"COL6A5","LAMB2"
"COL6A5","LRP4"
"COL6A5","MUSK"
"COL6A5","PLEC"
"COL6A5","MSR1"
"COL6A5","HBA2"
"HLA-A","LAMA5"
"HLA-A","TLL2"
"HLA-A","ADAMTS9"
"HLA-A","CNTN3"
"HLA-A","AGRN"
"HLA-A","COL13A1"
"HLA-A","LAMB2"
"HLA-A","LRP4"
"HLA-A","MUSK"
"HLA-A","PLEC"
"HLA-A","MSR1"
"HLA-A","HBA2"
"LAMA5","TLL2"
"LAMA5","ADAMTS9"
"LAMA5","CNTN3"
"LAMA5","AGRN"
"LAMA5","COL13A1"
"LAMA5","LAMB2"
"LAMA5","LRP4"
"LAMA5","MUSK"
"LAMA5","PLEC"
"LAMA5","MSR1"
"LAMA5","HBA2"
"TLL2","ADAMTS9"
"TLL2","CNTN3"
"TLL2","AGRN"
"TLL2","COL13A1"
"TLL2","LAMB2"
"TLL2","LRP4"
"TLL2","MUSK"
"TLL2","PLEC"
"TLL2","MSR1"
"TLL2","HBA2"
"ADAMTS9","CNTN3"
"ADAMTS9","AGRN"
"ADAMTS9","COL13A1"
"ADAMTS9","LAMB2"
"ADAMTS9","LRP4"
"ADAMTS9","MUSK"
"ADAMTS9","PLEC"
"ADAMTS9","MSR1"
"ADAMTS9","HBA2"
"CNTN3","AGRN"
"CNTN3","COL13A1"
"CNTN3","LAMB2"
"CNTN3","LRP4"
"CNTN3","MUSK"
"CNTN3","PLEC"
"CNTN3","MSR1"
"CNTN3","HBA2"
"AGRN","COL13A1"
"AGRN","LAMB2"
"AGRN","LRP4"
"AGRN","MUSK"
"AGRN","PLEC"
"AGRN","MSR1"
"AGRN","HBA2"
"COL13A1","LAMB2"
"COL13A1","LRP4"
"COL13A1","MUSK"
"COL13A1","PLEC"
"COL13A1","MSR1"
"COL13A1","HBA2"
"LAMB2","LRP4"
"LAMB2","MUSK"
"LAMB2","PLEC"
"LAMB2","MSR1"
"LAMB2","HBA2"
"LRP4","MUSK"
"LRP4","PLEC"
"LRP4","MSR1"
"LRP4","HBA2"
"MUSK","PLEC"
"MUSK","MSR1"
"MUSK","HBA2"
"PLEC","MSR1"
"PLEC","HBA2"
"MSR1","HBA2"
"FASN","ZNF343"
"FASN","MRM1"
"ZNF343","MRM1"
"PMS2","USP17L2"
"PMS2","POLE"
"PMS2","POLQ"
"PMS2","PADI3"
"PMS2","USP20"
"PMS2","REST"
"PMS2","ELP1"
"PMS2","ZFHX3"
"PMS2","TADA2A"
"PMS2","PBX1"
"USP17L2","POLE"
"USP17L2","POLQ"
"USP17L2","PADI3"
"USP17L2","USP20"
"USP17L2","REST"
"USP17L2","ELP1"
"USP17L2","ZFHX3"
"USP17L2","TADA2A"
"USP17L2","PBX1"
"POLE","POLQ"
"POLE","PADI3"
"POLE","USP20"
"POLE","REST"
"POLE","ELP1"
"POLE","ZFHX3"
"POLE","TADA2A"
"POLE","PBX1"
"POLQ","PADI3"
"POLQ","USP20"
"POLQ","REST"
"POLQ","ELP1"
"POLQ","ZFHX3"
"POLQ","TADA2A"
"POLQ","PBX1"
"PADI3","USP20"
"PADI3","REST"
"PADI3","ELP1"
"PADI3","ZFHX3"
"PADI3","TADA2A"
"PADI3","PBX1"
"USP20","REST"
"USP20","ELP1"
"USP20","ZFHX3"
"USP20","TADA2A"
"USP20","PBX1"
"REST","ELP1"
"REST","ZFHX3"
"REST","TADA2A"
"REST","PBX1"
"ELP1","ZFHX3"
"ELP1","TADA2A"
"ELP1","PBX1"
"ZFHX3","TADA2A"
"ZFHX3","PBX1"
"TADA2A","PBX1"
"KRT6A","FLG"
"KRT6A","CREB3L4"
"KRT6A","KRT23"
"FLG","CREB3L4"
"FLG","KRT23"
"CREB3L4","KRT23"
"ASB10","TLR1"
"ASB10","TLR6"
"ASB10","LMO7"
"TLR1","TLR6"
"TLR1","LMO7"
