"V1","V2"
"AMPD1","ATP6V0A4"
"AMPD1","LBP"
"AMPD1","CHIT1"
"AMPD1","SNAP25"
"AMPD1","ATAD3B"
"ATP6V0A4","LBP"
"ATP6V0A4","CHIT1"
"ATP6V0A4","SNAP25"
"ATP6V0A4","ATAD3B"
"LBP","CHIT1"
"LBP","SNAP25"
"LBP","ATAD3B"
"CHIT1","SNAP25"
"CHIT1","ATAD3B"
"SNAP25","ATAD3B"
"OR10G9","OR10G9"
"SLC25A1","SLC25A1"
"AGRN","HSPG2"
"AGRN","LEFTY2"
"AGRN","LILRA1"
"AGRN","LOXL3"
"AGRN","CFHR5"
"AGRN","TNXB"
"AGRN","VCAN"
"AGRN","CHGB"
"AGRN","CFB"
"AGRN","COL15A1"
"AGRN","LAMA2"
"AGRN","SIGLEC12"
"AGRN","TNC"
"AGRN","COL13A1"
"AGRN","LAMA5"
"AGRN","LAMB2"
"AGRN","LRP4"
"AGRN","MUSK"
"AGRN","PLEC"
"AGRN","PSG5"
"HSPG2","LEFTY2"
"HSPG2","LILRA1"
"HSPG2","LOXL3"
"HSPG2","CFHR5"
"HSPG2","TNXB"
"HSPG2","VCAN"
"HSPG2","CHGB"
"HSPG2","CFB"
"HSPG2","COL15A1"
"HSPG2","LAMA2"
"HSPG2","SIGLEC12"
"HSPG2","TNC"
"HSPG2","COL13A1"
"HSPG2","LAMA5"
"HSPG2","LAMB2"
"HSPG2","LRP4"
"HSPG2","MUSK"
"HSPG2","PLEC"
"HSPG2","PSG5"
"LEFTY2","LILRA1"
"LEFTY2","LOXL3"
"LEFTY2","CFHR5"
"LEFTY2","TNXB"
"LEFTY2","VCAN"
"LEFTY2","CHGB"
"LEFTY2","CFB"
"LEFTY2","COL15A1"
"LEFTY2","LAMA2"
"LEFTY2","SIGLEC12"
"LEFTY2","TNC"
"LEFTY2","COL13A1"
"LEFTY2","LAMA5"
"LEFTY2","LAMB2"
"LEFTY2","LRP4"
"LEFTY2","MUSK"
"LEFTY2","PLEC"
"LEFTY2","PSG5"
"LILRA1","LOXL3"
"LILRA1","CFHR5"
"LILRA1","TNXB"
"LILRA1","VCAN"
"LILRA1","CHGB"
"LILRA1","CFB"
"LILRA1","COL15A1"
"LILRA1","LAMA2"
"LILRA1","SIGLEC12"
"LILRA1","TNC"
"LILRA1","COL13A1"
"LILRA1","LAMA5"
"LILRA1","LAMB2"
"LILRA1","LRP4"
"LILRA1","MUSK"
"LILRA1","PLEC"
"LILRA1","PSG5"
"LOXL3","CFHR5"
"LOXL3","TNXB"
"LOXL3","VCAN"
"LOXL3","CHGB"
"LOXL3","CFB"
"LOXL3","COL15A1"
"LOXL3","LAMA2"
"LOXL3","SIGLEC12"
"LOXL3","TNC"
"LOXL3","COL13A1"
"LOXL3","LAMA5"
"LOXL3","LAMB2"
"LOXL3","LRP4"
"LOXL3","MUSK"
"LOXL3","PLEC"
"LOXL3","PSG5"
"CFHR5","TNXB"
"CFHR5","VCAN"
"CFHR5","CHGB"
"CFHR5","CFB"
"CFHR5","COL15A1"
"CFHR5","LAMA2"
"CFHR5","SIGLEC12"
"CFHR5","TNC"
"CFHR5","COL13A1"
"CFHR5","LAMA5"
"CFHR5","LAMB2"
"CFHR5","LRP4"
"CFHR5","MUSK"
"CFHR5","PLEC"
"CFHR5","PSG5"
"TNXB","VCAN"
"TNXB","CHGB"
"TNXB","CFB"
"TNXB","COL15A1"
"TNXB","LAMA2"
"TNXB","SIGLEC12"
"TNXB","TNC"
"TNXB","COL13A1"
"TNXB","LAMA5"
"TNXB","LAMB2"
"TNXB","LRP4"
"TNXB","MUSK"
"TNXB","PLEC"
"TNXB","PSG5"
"VCAN","CHGB"
"VCAN","CFB"
"VCAN","COL15A1"
"VCAN","LAMA2"
"VCAN","SIGLEC12"
"VCAN","TNC"
"VCAN","COL13A1"
"VCAN","LAMA5"
"VCAN","LAMB2"
"VCAN","LRP4"
"VCAN","MUSK"
"VCAN","PLEC"
"VCAN","PSG5"
"CHGB","CFB"
"CHGB","COL15A1"
"CHGB","LAMA2"
"CHGB","SIGLEC12"
"CHGB","TNC"
"CHGB","COL13A1"
"CHGB","LAMA5"
"CHGB","LAMB2"
"CHGB","LRP4"
"CHGB","MUSK"
"CHGB","PLEC"
"CHGB","PSG5"
"CFB","COL15A1"
"CFB","LAMA2"
"CFB","SIGLEC12"
"CFB","TNC"
"CFB","COL13A1"
"CFB","LAMA5"
"CFB","LAMB2"
"CFB","LRP4"
"CFB","MUSK"
"CFB","PLEC"
"CFB","PSG5"
"COL15A1","LAMA2"
"COL15A1","SIGLEC12"
"COL15A1","TNC"
"COL15A1","COL13A1"
"COL15A1","LAMA5"
"COL15A1","LAMB2"
"COL15A1","LRP4"
"COL15A1","MUSK"
"COL15A1","PLEC"
"COL15A1","PSG5"
"LAMA2","SIGLEC12"
"LAMA2","TNC"
"LAMA2","COL13A1"
"LAMA2","LAMA5"
"LAMA2","LAMB2"
"LAMA2","LRP4"
"LAMA2","MUSK"
"LAMA2","PLEC"
"LAMA2","PSG5"
"SIGLEC12","TNC"
"SIGLEC12","COL13A1"
"SIGLEC12","LAMA5"
"SIGLEC12","LAMB2"
"SIGLEC12","LRP4"
"SIGLEC12","MUSK"
"SIGLEC12","PLEC"
"SIGLEC12","PSG5"
"TNC","COL13A1"
"TNC","LAMA5"
"TNC","LAMB2"
"TNC","LRP4"
"TNC","MUSK"
"TNC","PLEC"
"TNC","PSG5"
"COL13A1","LAMA5"
"COL13A1","LAMB2"
"COL13A1","LRP4"
"COL13A1","MUSK"
"COL13A1","PLEC"
"COL13A1","PSG5"
"LAMA5","LAMB2"
"LAMA5","LRP4"
"LAMA5","MUSK"
"LAMA5","PLEC"
"LAMA5","PSG5"
"LAMB2","LRP4"
"LAMB2","MUSK"
"LAMB2","PLEC"
