Var1,Var2,value
KRT79,AGRN,8
MICALL2,AGRN,6
NPHP3,AGRN,8
RP1,AGRN,6
DNAH7,AGRN,8
FHOD3,AGRN,8
HSPG2,AGRN,0
LEFTY2,AGRN,1
NCKAP5L,AGRN,8
NOTCH4,AGRN,4
PRRT3,AGRN,6
PTPN14,AGRN,6
SMTN,AGRN,7
TOR2A,AGRN,8
C1orf94,AGRN,8
CASP5,AGRN,8
DMXL2,AGRN,6
KIAA1109,AGRN,8
LILRA1,AGRN,4
LOXL3,AGRN,0
LRP2,AGRN,6
NAT8B,AGRN,8
UNC13C,AGRN,6
ZP4,AGRN,2
ABCB5,AGRN,8
AMPD1,AGRN,8
ATP6V0A4,AGRN,8
CFHR5,AGRN,5
LBP,AGRN,4
OTOP1,AGRN,8
PLB1,AGRN,8
RPL3L,AGRN,8
SLC28A1,AGRN,7
SLC44A4,AGRN,8
SPTBN5,AGRN,6
TNXB,AGRN,0
VWA5B2,AGRN,6
ZNF778,AGRN,8
ANKRD12,AGRN,8
CDH23,AGRN,4
CES5A,AGRN,8
CHGB,AGRN,0
FGL1,AGRN,3
MCM8,AGRN,8
MYBPC2,AGRN,4
MYH15,AGRN,7
SELENOO,AGRN,8
ZNF273,AGRN,8
BAIAP3,AGRN,6
C2CD3,AGRN,8
CFB,AGRN,4
COL15A1,AGRN,0
FHAD1,AGRN,8
HEATR1,AGRN,8
LAMA2,AGRN,0
OR10G9,AGRN,8
DNAAF1,AGRN,8
DNAH17,AGRN,5
DNAH3,AGRN,8
NBEA,AGRN,8
SIGLEC12,AGRN,4
TNC,AGRN,0
WDSUB1,AGRN,8
ZC3H3,AGRN,8
ACOT2,AGRN,8
CDH3,AGRN,4
FAAP100,AGRN,8
FCGBP,AGRN,8
PPFIBP2,AGRN,5
RPTN,AGRN,8
USP8,AGRN,8
ALG14,AGRN,8
ALG2,AGRN,8
CHAT,AGRN,8
CHRNA1,AGRN,7
CHRNB1,AGRN,7
CHRNE,AGRN,7
CHRNG,AGRN,7
COL13A1,AGRN,0
COLQ,AGRN,2
DOK7,AGRN,6
DPAGT1,AGRN,8
GFPT1,AGRN,8
GMPPB,AGRN,8
LAMA5,AGRN,0
LAMB2,AGRN,0
LRP4,AGRN,0
MYO9A,AGRN,6
PLEC,AGRN,0
PREPL,AGRN,8
RAPSN,AGRN,6
RPH3A,AGRN,6
SCN4A,AGRN,7
SLC18A3,AGRN,7
SLC25A1,AGRN,8
SLC5A7,AGRN,7
SYT2,AGRN,6
UNC13B,AGRN,6
VAMP1,AGRN,6
USH2A,AGRN,0
UBE2D1,AGRN,8
ATAD3B,AGRN,6
TPCN2,AGRN,7
AKNAD1,AGRN,7
CLCNKB,AGRN,7
CASP12,AGRN,8
PSG5,AGRN,1
DEFB115,AGRN,7
ATAD3C,AGRN,8
AGRN,KIF13B,7
KRT79,KIF13B,8
MICALL2,KIF13B,7
NPHP3,KIF13B,6
RAD51AP1,KIF13B,6
RP1,KIF13B,7
DNAH7,KIF13B,1
FHOD3,KIF13B,7
HSPG2,KIF13B,7
LEFTY2,KIF13B,7
NCKAP5L,KIF13B,3
NOTCH4,KIF13B,7
PRRT3,KIF13B,7
PTPN14,KIF13B,7
SMTN,KIF13B,8
SRMS,KIF13B,7
TOR2A,KIF13B,7
C1orf94,KIF13B,7
CASP5,KIF13B,7
DMXL2,KIF13B,7
KIAA1109,KIF13B,7
LILRA1,KIF13B,7
LOXL3,KIF13B,7
LRP2,KIF13B,7
NAT8B,KIF13B,7
UNC13C,KIF13B,7
ZP4,KIF13B,7
ABCB5,KIF13B,7
AMPD1,KIF13B,7
ATP6V0A4,KIF13B,7
CFHR5,KIF13B,8
LBP,KIF13B,7
OTOP1,KIF13B,7
PLB1,KIF13B,7
RPL3L,KIF13B,7
SLC28A1,KIF13B,8
SLC44A4,KIF13B,7
SPTBN5,KIF13B,7
TNXB,KIF13B,7
VWA5B2,KIF13B,7
ZNF778,KIF13B,8
ANKRD12,KIF13B,7
CDH23,KIF13B,7
CES5A,KIF13B,7
CHGB,KIF13B,7
FGL1,KIF13B,7
MCM8,KIF13B,6
MYBPC2,KIF13B,7
MYH15,KIF13B,8
SELENOO,KIF13B,7
ZNF273,KIF13B,8
BAIAP3,KIF13B,7
C2CD3,KIF13B,1
CFB,KIF13B,7
COL15A1,KIF13B,7
FHAD1,KIF13B,7
HEATR1,KIF13B,7
LAMA2,KIF13B,7
OR10G9,KIF13B,8
DNAAF1,KIF13B,1
DNAH17,KIF13B,7
DNAH3,KIF13B,1
NBEA,KIF13B,7
SIGLEC12,KIF13B,7
TNC,KIF13B,7
WDSUB1,KIF13B,7
ZC3H3,KIF13B,7
ACOT2,KIF13B,7
CDH3,KIF13B,7
FAAP100,KIF13B,7
FCGBP,KIF13B,7
PPFIBP2,KIF13B,7
RPTN,KIF13B,8
USP8,KIF13B,7
AGRN,KIF13B,7
ALG14,KIF13B,7
ALG2,KIF13B,7
CHAT,KIF13B,7
CHRNA1,KIF13B,8
CHRNB1,KIF13B,8
CHRNE,KIF13B,8
CHRNG,KIF13B,8
COL13A1,KIF13B,7
COLQ,KIF13B,8
DOK7,KIF13B,7
DPAGT1,KIF13B,7
GFPT1,KIF13B,7
GMPPB,KIF13B,7
LAMA5,KIF13B,7
LAMB2,KIF13B,7
LRP4,KIF13B,7
MUSK,KIF13B,7
MYO9A,KIF13B,7
PLEC,KIF13B,7
PREPL,KIF13B,7
RAPSN,KIF13B,7
RPH3A,KIF13B,7
SCN4A,KIF13B,8
SLC18A3,KIF13B,6
SLC25A1,KIF13B,7
SLC5A7,KIF13B,8
SYT2,KIF13B,7
UNC13B,KIF13B,7
VAMP1,KIF13B,7
USH2A,KIF13B,7
UBE2D1,KIF13B,7
ATAD3B,KIF13B,7
TPCN2,KIF13B,8
AKNAD1,KIF13B,8
CLCNKB,KIF13B,8
CASP12,KIF13B,7
PSG5,KIF13B,7
DEFB115,KIF13B,8
ATAD3C,KIF13B,7
MICALL2,KRT79,8
NPHP3,KRT79,4
NCKAP5L,KRT79,8
PRRT3,KRT79,8
TOR2A,KRT79,8
DMXL2,KRT79,8
LILRA1,KRT79,8
NAT8B,KRT79,8
UNC13C,KRT79,8
ZP4,KRT79,7
ABCB5,KRT79,8
AMPD1,KRT79,8
ATP6V0A4,KRT79,8
CFHR5,KRT79,7
OTOP1,KRT79,8
PLB1,KRT79,8
SLC28A1,KRT79,8
SLC44A4,KRT79,8
VWA5B2,KRT79,8
ZNF778,KRT79,8
CDH23,KRT79,8
CES5A,KRT79,8
MYH15,KRT79,8
SELENOO,KRT79,8
ZNF273,KRT79,8
BAIAP3,KRT79,8
FHAD1,KRT79,8
OR10G9,KRT79,8
DNAAF1,KRT79,8
DNAH17,KRT79,8
DNAH3,KRT79,8
ZC3H3,KRT79,8
ACOT2,KRT79,8
FCGBP,KRT79,8
RPTN,KRT79,0
ALG14,KRT79,8
CHRNA1,KRT79,8
CHRNE,KRT79,8
COL13A1,KRT79,8
COLQ,KRT79,8
DPAGT1,KRT79,8
LRP4,KRT79,8
RPH3A,KRT79,8
SCN4A,KRT79,8
SLC18A3,KRT79,8
SLC25A1,KRT79,8
SLC5A7,KRT79,8
UNC13B,KRT79,8
TPCN2,KRT79,8
AKNAD1,KRT79,8
CLCNKB,KRT79,8
CASP12,KRT79,8
DEFB115,KRT79,8
ATAD3C,KRT79,8
PRRT3,MICALL2,6
NAT8B,MICALL2,8
ZP4,MICALL2,6
SLC44A4,MICALL2,8
VWA5B2,MICALL2,5
ZNF778,MICALL2,8
CES5A,MICALL2,8
ZNF273,MICALL2,8
FHAD1,MICALL2,8
DNAH17,MICALL2,6
ACOT2,MICALL2,8
SLC18A3,MICALL2,6
DEFB115,MICALL2,7
MICALL2,NPHP3,8
PRRT3,NPHP3,8
NAT8B,NPHP3,7
ZP4,NPHP3,7
ABCB5,NPHP3,7
OTOP1,NPHP3,7
SLC44A4,NPHP3,7
VWA5B2,NPHP3,8
ZNF778,NPHP3,8
CDH23,NPHP3,8
CES5A,NPHP3,7
ZNF273,NPHP3,8
FHAD1,NPHP3,7
DNAH17,NPHP3,8
DNAH3,NPHP3,6
ACOT2,NPHP3,7
ALG14,NPHP3,7
COL13A1,NPHP3,8
COLQ,NPHP3,8
LRP4,NPHP3,8
SCN4A,NPHP3,8
SLC18A3,NPHP3,7
SLC5A7,NPHP3,8
AKNAD1,NPHP3,8
CASP12,NPHP3,7
DEFB115,NPHP3,8
AGRN,RAD51AP1,8
KRT79,RAD51AP1,8
MICALL2,RAD51AP1,8
NPHP3,RAD51AP1,7
RP1,RAD51AP1,8
DNAH7,RAD51AP1,5
FHOD3,RAD51AP1,6
HSPG2,RAD51AP1,8
LEFTY2,RAD51AP1,8
NCKAP5L,RAD51AP1,5
NOTCH4,RAD51AP1,8
PRRT3,RAD51AP1,8
PTPN14,RAD51AP1,8
SMTN,RAD51AP1,8
SRMS,RAD51AP1,8
TOR2A,RAD51AP1,7
C1orf94,RAD51AP1,7
CASP5,RAD51AP1,6
DMXL2,RAD51AP1,8
KIAA1109,RAD51AP1,6
LILRA1,RAD51AP1,8
LOXL3,RAD51AP1,8
LRP2,RAD51AP1,8
NAT8B,RAD51AP1,5
UNC13C,RAD51AP1,8
ZP4,RAD51AP1,8
ABCB5,RAD51AP1,6
AMPD1,RAD51AP1,7
ATP6V0A4,RAD51AP1,7
CFHR5,RAD51AP1,8
LBP,RAD51AP1,8
OTOP1,RAD51AP1,7
PLB1,RAD51AP1,7
RPL3L,RAD51AP1,7
SLC28A1,RAD51AP1,8
SLC44A4,RAD51AP1,7
SPTBN5,RAD51AP1,8
TNXB,RAD51AP1,8
VWA5B2,RAD51AP1,8
ZNF778,RAD51AP1,8
ANKRD12,RAD51AP1,5
