"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2","3","7","25","44","165","101","274","358","C0000768"
"2","3","7","60","153","40","38","54","203","C0000768"
"2","3","12","19","31","1","426","55","78","C0000768"
"2","3","12","19","221","321","428","541","667","C0000768"
"2","3","3","19","221","321","428","541","667","C0000768"
"2","5","4","68","96","326","427","548","672","C0000768"
"2","3","2","22","33","71","373","466","609","C0000768"
"2","5","7","53","51","342","454","573","492","C0000768"
"2","5","7","53","51","143","428","560","667","C0000768"
"2","3","12","19","221","143","428","236","667","C0000768"
"2","3","3","19","151","276","91","433","118","C0000768"
"2","3","8","45","94","199","240","415","666","C0000832"
"2","3","5","15","166","104","262","121","167","C0000832"
"2","3","5","41","219","75","243","44","64","C0000832"
"2","5","8","63","45","23","103","464","187","C0000887"
"2","5","7","34","52","216","142","220","298","C0000887"
"2","5","7","34","52","225","142","220","298","C0000887"
"2","5","7","19","119","143","214","236","389","C0000887"
"2","5","7","34","52","119","395","549","674","C0000887"
"2","5","7","34","52","225","142","220","298","C0000887"
"2","3","5","79","159","256","350","27","44","C0000889"
"2","3","12","76","137","76","136","82","658","C0000889"
"2","3","7","34","52","216","395","549","622","C0000889"
"2","3","5","80","81","166","57","83","658","C0000889"
"2","5","8","27","70","99","162","216","290","C0000889"
"2","3","3","19","151","276","91","433","118","C0000889"
"2","3","12","76","153","40","38","54","75","C0000889"
"2","3","12","19","31","1","91","489","416","C0000889"
"2","3","12","19","31","261","116","1","86","C0000889"
"2","1","6","11","142","225","142","220","298","C0000889"
"2","3","12","19","151","276","91","433","118","C0000889"
"2","5","7","53","14","20","34","540","68","C0000889"
"2","5","7","53","45","23","57","83","422","C0000889"
"2","5","7","53","14","20","25","40","186","C0000889"
"2","5","7","53","14","20","25","40","186","C0000889"
"2","5","7","53","14","20","25","40","186","C0000889"
"2","3","12","26","105","178","226","297","156","C0000889"
"2","3","3","19","151","276","91","433","118","C0000889"
"2","3","5","80","81","339","156","568","605","C0000889"
"2","5","7","60","54","24","30","46","72","C0000889"
"2","3","2","45","94","199","240","519","326","C0001122"
"2","3","5","79","152","273","375","100","589","C0001122"
"2","3","2","69","98","169","299","183","243","C0001122"
"2","3","2","68","96","326","427","429","544","C0001126"
"2","5","8","45","94","199","240","415","666","C0001126"
"2","3","5","29","88","110","141","537","50","C0001126"
"2","3","7","60","81","184","341","66","203","C0001126"
"2","5","6","42","36","71","177","64","219","C0001126"
"2","3","2","19","151","276","91","433","118","C0001126"
"2","5","8","35","41","199","40","415","666","C0001126"
"2","3","12","41","219","339","347","206","627","C0001126"
"2","5","7","53","51","143","428","236","667","C0001126"
"2","3","12","19","124","143","428","236","667","C0001126"
"2","3","12","19","184","118","155","287","116","C0001175"
"2","5","7","53","14","20","25","40","186","C0001175"
"2","5","7","53","184","119","156","287","116","C0001175"
"2","5","8","63","45","23","103","464","187","C0001202"
"2","3","5","80","81","339","156","568","605","C0001202"
"2","3","4","68","221","197","259","499","422","C0001206"
"2","3","7","34","52","216","395","549","622","C0001206"
"2","5","8","27","70","99","162","216","290","C0001206"
"2","3","3","41","151","276","378","271","356","C0001206"
"2","3","12","19","31","1","91","489","416","C0001206"
"2","3","12","19","31","1","426","55","78","C0001206"
"2","3","12","19","31","1","426","55","78","C0001206"
"2","5","7","53","51","119","25","40","186","C0001206"
"2","5","7","53","51","342","454","573","492","C0001206"
"2","3","12","19","31","1","116","489","416","C0001206"
"2","5","7","53","45","23","57","83","422","C0001206"
"2","3","12","19","31","342","454","573","492","C0001206"
"2","3","12","19","31","1","116","1","86","C0001206"
"2","5","7","53","14","20","25","40","186","C0001206"
"2","3","12","19","184","118","155","287","116","C0001206"
"2","3","3","19","151","276","91","433","118","C0001206"
"2","5","4","68","96","326","427","548","672","C0001206"
"2","3","7","34","52","216","395","549","622","C0001339"
"2","5","8","27","70","99","162","216","290","C0001339"
"2","3","12","26","105","178","226","297","156","C0001339"
"2","3","5","47","144","185","238","310","392","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","5","7","53","51","119","395","549","674","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","2","15","166","104","369","117","583","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","12","53","184","119","156","287","116","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","47","144","185","238","310","392","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","47","144","185","238","310","392","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","43","161","305","409","208","482","C0001403"
"2","3","5","80","81","166","369","117","583","C0001430"
"2","3","5","80","81","305","409","208","482","C0001430"
