"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","190","2","3","3","19","151","276","91","433","118","C0000768"
"2","3630","2","5","7","53","14","20","25","40","186","C0000768"
"3","7421","2","3","3","19","151","276","91","433","118","C0000768"
"4","4843","2","3","5","43","161","305","409","489","416","C0000768"
"5","1548","2","3","5","91","214","226","326","447","586","C0000768"
"6","5352","2","5","7","53","51","342","454","573","492","C0000768"
"7","3115","2","5","7","53","184","119","156","287","116","C0000768"
"8","2108","2","3","2","48","170","50","119","444","556","C0000768"
"9","977","2","5","7","53","51","342","454","573","492","C0000768"
"10","5336","2","3","7","53","14","20","25","40","215","C0000768"
"11","3479","2","5","7","53","51","342","454","573","492","C0000768"
"12","6926","2","5","7","53","51","335","259","560","373","C0000832"
"13","2296","2","3","3","19","221","321","428","541","667","C0000832"
"14","10060","2","3","8","41","45","23","423","464","445","C0000832"
"15","23322","2","3","12","76","153","40","38","54","75","C0000887"
"16","1411","2","3","6","63","45","160","362","177","673","C0000887"
"17","3123","2","5","7","53","51","119","156","287","116","C0000887"
"18","1106","2","3","12","19","31","1","426","55","78","C0000887"
"19","2554","2","5","8","27","70","99","162","216","290","C0000887"
"20","2253","2","5","7","53","14","20","25","40","186","C0000887"
"21","3559","2","5","7","53","14","20","25","40","186","C0000889"
"22","3930","2","3","2","22","33","323","66","3","464","C0000889"
"23","54487","2","3","2","22","33","323","66","101","136","C0000889"
"24","10484","2","3","7","60","153","40","38","54","203","C0000889"
"25","6443","2","5","8","63","45","23","103","464","187","C0000889"
"26","5443","2","5","4","68","96","326","427","548","672","C0000889"
"27","51259","2","3","2","76","153","40","38","54","75","C0000889"
"28","5663","2","5","7","34","52","216","395","549","667","C0000889"
"29","7428","2","3","12","41","116","268","434","468","213","C0000889"
"30","1616","2","3","12","19","31","1","426","55","316","C0000889"
"31","596","2","3","12","19","219","339","402","489","416","C0000889"
"32","1832","2","5","7","34","52","225","142","220","298","C0000889"
"33","5308","2","3","3","19","221","321","428","541","667","C0000889"
"34","6334","2","5","8","63","36","166","341","223","158","C0000889"
"35","23483","2","3","2","28","191","306","143","452","258","C0000889"
"36","10128","2","3","2","48","170","50","119","444","556","C0000889"
"37","335","2","5","7","53","51","342","454","573","492","C0000889"
"38","6605","2","3","12","19","31","1","426","55","78","C0000889"
"39","11005","2","1","6","11","142","225","142","220","298","C0000889"
