"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"27130","2","3","12","48","45","143","38","236","69","C0000768"
"5979","2","5","7","53","14","20","25","40","186","C0000768"
"3643","2","5","7","53","14","20","25","40","186","C0000768"
"23451","2","3","2","22","33","323","66","101","136","C0000768"
"10269","2","3","2","48","182","50","119","444","556","C0000768"
"4204","2","3","12","19","31","1","426","55","78","C0000768"
"81608","2","3","2","22","33","323","66","101","136","C0000768"
"6531","2","5","8","45","94","199","240","415","666","C0000768"
"8878","2","3","12","41","219","339","156","568","697","C0000768"
"4509","2","3","2","48","170","50","119","444","556","C0000768"
"1629","2","3","2","67","92","293","55","75","311","C0000768"
"7291","2","3","12","19","151","276","91","489","416","C0000832"
"6188","2","3","2","110","85","237","433","547","671","C0000832"
"2263","2","5","7","53","14","20","25","40","186","C0000832"
"26229","2","3","2","74","205","191","396","408","257","C0000887"
"2072","2","3","12","19","31","261","116","1","86","C0000887"
"6391","2","3","2","48","170","50","119","444","556","C0000887"
"9051","2","5","7","60","14","20","25","40","215","C0000887"
"29108","2","5","7","34","52","216","395","549","674","C0000887"
"29899","2","5","4","68","96","326","427","548","672","C0000887"
"1890","2","3","5","80","81","296","62","94","150","C0000889"
"8924","2","3","12","41","116","268","434","468","213","C0000889"
"2697","2","3","7","76","153","40","38","54","75","C0000889"
"2189","2","3","12","19","31","261","116","1","86","C0000889"
"4621","2","5","8","63","45","23","103","464","187","C0000889"
"4750","2","5","12","76","14","20","34","540","68","C0000889"
"7422","2","5","7","53","51","342","454","573","702","C0000889"
"5626","2","3","3","19","221","321","428","541","667","C0000889"
"19","2","3","3","19","151","276","91","433","118","C0000889"
"6663","2","3","3","19","221","321","428","541","667","C0000889"
"6663","2","3","3","19","221","321","428","541","667","C0000889"
"6323","2","5","8","63","36","166","341","390","158","C0000889"
"2254","2","5","7","53","14","20","25","40","186","C0000889"
"8869","2","3","2","89","124","204","272","347","451","C0000889"
"3988","2","3","5","98","174","277","379","476","42","C0000889"
"51360","2","3","3","26","35","276","91","433","203","C0000889"
"2697","2","3","7","76","153","40","38","54","75","C0000889"
"55624","2","3","2","78","123","194","255","215","412","C0000889"
"5443","2","5","4","68","96","326","427","548","672","C0000889"
"3081","2","3","2","91","51","3","267","308","429","C0000889"
"6576","2","3","2","45","94","199","240","569","666","C0001122"
"348","2","5","7","53","51","342","454","573","492","C0001122"
"11340","2","3","2","110","85","237","433","547","671","C0001122"
"1351","2","3","2","48","170","110","141","359","462","C0001126"
"6775","2","5","7","53","14","119","25","40","186","C0001126"
"7547","2","3","3","19","221","321","428","541","667","C0001126"
"6794","2","3","12","53","14","20","34","540","68","C0001126"
"3081","2","3","2","91","51","3","267","308","429","C0001126"
"4540","2","3","2","48","170","50","119","444","556","C0001126"
"2261","2","5","7","53","14","20","25","40","186","C0001126"
"153241","2","3","12","76","153","40","38","54","75","C0001126"
"1723","2","3","2","48","170","50","119","444","556","C0001126"
"5309","2","3","3","19","221","321","428","541","667","C0001126"
"6891","2","3","12","41","116","119","156","568","116","C0001175"
"4593","2","5","7","53","14","20","454","573","492","C0001175"
"10008","2","5","8","63","36","166","341","223","158","C0001175"
"8905","2","5","7","60","153","184","341","544","669","C0001202"
"22854","2","5","5","27","51","335","444","560","373","C0001202"
"50814","2","3","2","69","221","73","360","86","119","C0001206"
"3035","2","3","2","110","85","237","433","547","154","C0001206"
"7317","2","3","12","41","116","268","434","468","213","C0001206"
"4688","2","5","7","60","14","20","25","40","215","C0001206"
"23742","2","5","5","68","96","326","427","447","586","C0001206"
"11200","2","3","12","19","31","261","116","1","86","C0001206"
"121391","2","1","6","11","142","225","142","220","298","C0001206"
"3178","2","3","2","22","33","323","66","101","136","C0001206"
"4914","2","3","2","22","18","266","202","252","252","C0001206"
"1528","2","3","5","91","214","271","372","471","586","C0001206"
"1375","2","3","2","67","92","293","55","75","205","C0001206"
"7490","2","3","3","19","221","321","428","541","667","C0001206"
"2074","2","3","12","19","31","1","426","55","78","C0001206"
"351","2","5","4","68","96","326","188","145","193","C0001206"
"9049","2","3","3","41","151","276","378","271","356","C0001206"
"26154","2","3","5","47","144","185","238","310","392","C0001206"
"3315","2","3","12","41","181","160","362","402","215","C0001206"
"8626","2","3","3","19","221","321","428","541","667","C0001339"
"3592","2","5","7","53","51","119","25","489","416","C0001339"
"1760","2","5","8","63","14","20","34","540","68","C0001339"
"10060","2","3","8","41","45","23","423","464","445","C0001403"
"4998","2","3","12","76","31","261","116","1","86","C0001403"
"4041","2","5","3","68","221","197","259","560","422","C0001403"
"8643","2","5","3","68","221","197","259","560","422","C0001403"
"5443","2","5","4","68","96","326","427","548","672","C0001403"
"8450","2","3","12","41","116","268","434","468","213","C0001403"
"5824","2","3","5","47","144","185","238","310","392","C0001403"
"2717","2","3","7","34","52","216","395","549","674","C0001403"
"26047","2","5","7","27","36","335","341","223","373","C0001403"
"4683","2","3","12","19","31","261","116","1","86","C0001403"
"2733","2","3","2","22","33","323","66","101","664","C0001403"
"9990","2","5","8","45","94","199","240","415","666","C0001403"
"23322","2","3","12","76","153","40","38","54","75","C0001403"
"1027","2","3","12","19","31","1","116","1","86","C0001403"
"2956","2","3","12","19","31","261","116","1","86","C0001403"
"7389","2","3","2","17","24","51","132","210","123","C0001403"
"2138","2","3","12","19","31","1","426","55","78","C0001403"
"4613","2","3","12","19","31","1","426","55","78","C0001403"
"7290","2","3","12","19","31","1","426","55","78","C0001430"
"4481","2","5","7","53","51","342","454","573","492","C0001430"
"7337","2","3","12","41","116","268","434","468","213","C0001430"
"23111","2","3","12","41","219","339","156","568","697","C0001430"
"2033","2","3","12","19","31","1","91","433","118","C0001430"
"3251","2","3","4","68","96","326","427","341","150","C0001430"
"6913","2","3","3","19","221","321","428","541","667","C0001430"
"5327","2","5","7","53","51","342","454","573","492","C0001430"
"6772","2","3","12","53","184","119","156","287","116","C0001430"
"3115","2","5","7","53","184","119","156","287","116","C0001430"
"2944","2","3","5","91","175","271","372","471","586","C0001430"
"8314","2","3","12","41","31","1","426","55","78","C0001430"
"4893","2","5","7","34","52","24","30","46","72","C0001430"
"4087","2","3","12","19","219","339","259","423","605","C0001430"
"2263","2","5","7","53","14","20","25","40","186","C0001430"
"55109","2","5","7","42","81","184","118","543","214","C0001430"
"6938","2","3","12","19","31","1","426","55","78","C0001430"
"2260","2","5","7","53","14","20","25","40","186","C0001430"
"6529","2","5","8","45","94","199","240","415","666","C0001430"
"3786","2","5","8","63","36","166","106","110","158","C0001430"
"51259","2","3","2","76","153","40","38","54","75","C0001430"
"54822","2","5","8","63","45","193","306","390","158","C0001430"
"2492","2","5","4","68","96","326","427","548","672","C0001430"
"2318","2","5","7","53","45","23","103","464","187","C0001430"
"1717","2","3","2","19","151","276","48","69","204","C0001430"
"55630","2","3","5","27","81","99","162","216","290","C0001430"
"26119","2","5","7","60","14","184","341","544","669","C0001430"
"526","2","3","5","29","88","132","172","199","308","C0001430"
"1272","2","5","7","53","51","335","444","236","373","C0001430"
"324","2","3","12","41","219","197","70","255","422","C0001430"
"9662","2","3","12","76","153","40","38","54","75","C0001430"
"5130","2","3","2","85","143","286","51","488","102","C0001430"
"27229","2","3","12","76","153","40","38","54","75","C0001618"
"2248","2","5","7","53","14","20","25","40","186","C0001618"
"6231","2","3","2","110","85","237","433","547","671","C0001618"
"1289","2","5","7","53","51","342","454","573","492","C0001621"
"11020","2","5","7","60","54","24","30","46","72","C0001621"
"190","2","3","3","19","151","276","91","433","118","C0001623"
"55636","2","3","3","19","221","321","428","423","389","C0001623"
"7157","2","3","12","19","31","261","402","489","551","C0001623"
"2109","2","3","2","48","170","50","119","444","556","C0001623"
"23209","2","5","8","63","45","23","103","464","187","C0001623"
"2798","2","5","4","68","96","326","427","548","672","C0001623"
"3736","2","5","8","63","36","166","106","110","158","C0001623"
"4088","2","3","12","19","219","339","259","423","605","C0001623"
