"geneId"	"geneSymbol"	"diseaseId"	"diseaseName"	"score"	"NofPmids"	"NofSnps"	"source"	"randomgene"
10	"NAT2"	"C0027794"	"Neural Tube Defects"	0.200274726784213	1	0	"CTD_human"	22995
10	"NAT2"	"C0028796"	"Dermatitis, Occupational"	0.202407028523288	1	0	"CTD_human"	1513
100	"ADA"	"C0002880"	"Autoimmune hemolytic anemia"	0.2	0	0	"HPO"	1146
100	"ADA"	"C0011606"	"Exfoliative dermatitis"	0.2	0	0	"HPO"	154064
100	"ADA"	"C0014457"	"Eosinophilia"	0.2	0	0	"HPO"	2260
100	"ADA"	"C0020452"	"Hyperemia"	0.202681755307501	2	0	"CTD_human"	8813
100	"ADA"	"C0037928"	"Spinal Cord Diseases"	0.2	1	0	"CTD_human"	478
100	"ADA"	"C0079731"	"B-Cell Lymphomas"	0.2	0	0	"HPO"	2719
100	"ADA"	"C0085110"	"Severe Combined Immunodeficiency"	0.230429160513024	0	0	"HPO"	10161
100	"ADA"	"C0162538"	"Immunoglobulin A deficiency (disorder)"	0.2	0	0	"HPO"	9791
100	"ADA"	"C0236175"	"Elevated IgE"	0.2	0	0	"HPO"	29954
100	"ADA"	"C0239989"	"Decreased IgM"	0.2	0	0	"HPO"	55325
100	"ADA"	"C0242584"	"Autoimmune thrombocytopenia"	0.2	0	0	"HPO"	213
100	"ADA"	"C0268747"	"Diffuse mesangial sclerosis (disorder)"	0.2	0	0	"HPO"	5728
100	"ADA"	"C0334008"	"Pachyderma"	0.2	0	0	"HPO"	5696
100	"ADA"	"C0398650"	"Immune thrombocytopenic purpura"	0.2	0	0	"HPO"	2629
100	"ADA"	"C0401151"	"Chronic diarrhea"	0.2	0	0	"HPO"	2920
100	"ADA"	"C0427546"	"Atypical lymphocyte observed"	0.2	0	0	"HPO"	2678
100	"ADA"	"C0920163"	"Idiopathic thrombocytopenia"	0.2	0	0	"HPO"	545
100	"ADA"	"C1837066"	"Recurrent viral infections"	0.2	0	0	"HPO"	6866
100	"ADA"	"C1842714"	"Desquamation of skin soon after birth"	0.2	0	0	"HPO"	5824
100	"ADA"	"C1844384"	"Recurrent fungal infections"	0.2	0	0	"HPO"	2969
100	"ADA"	"C1846154"	"Anterior rib cupping"	0.2	0	0	"HPO"	10019
100	"ADA"	"C1848765"	"Sparse/absent eyebrows"	0.2	0	0	"HPO"	8242
100	"ADA"	"C1855067"	"Low B cell count"	0.2	0	0	"HPO"	5788
100	"ADA"	"C1863715"	"Absent B cells"	0.2	0	0	"HPO"	286
100	"ADA"	"C1866227"	"Somatic mosaicism"	0.2	0	0	"HPO"	10102
100	"ADA"	"C2266639"	"Absence of eyebrows"	0.2	0	0	"HPO"	6303
100	"ADA"	"C2700553"	"Omenn Syndrome"	0.200274726784213	0	0	"ORPHANET"	1583
100	"ADA"	"C3551430"	"Sparse or absent eyebrows"	0.2	0	0	"HPO"	2200
100	"ADA"	"C3714497"	"Reactive airway disease"	0.2	0	0	"HPO"	345
100	"ADA"	"C4020824"	"Absence of B cells"	0.2	0	0	"HPO"	4591
