Var1,Var2,value
AGRN,DIP2A,6
AGRN,KIF13B,7
DIP2A,KIF13B,8
AGRN,KRT79,8
DIP2A,KRT79,2
KIF13B,KRT79,8
AGRN,MICALL2,6
DIP2A,MICALL2,7
KIF13B,MICALL2,7
KRT79,MICALL2,8
AGRN,NPHP3,8
DIP2A,NPHP3,5
KIF13B,NPHP3,6
KRT79,NPHP3,4
MICALL2,NPHP3,8
AGRN,RAD51AP1,8
DIP2A,RAD51AP1,8
KIF13B,RAD51AP1,6
KRT79,RAD51AP1,8
MICALL2,RAD51AP1,8
NPHP3,RAD51AP1,7
AGRN,RP1,6
DIP2A,RP1,7
KIF13B,RP1,7
KRT79,RP1,8
MICALL2,RP1,5
NPHP3,RP1,8
RAD51AP1,RP1,8
AGRN,DNAH7,8
DIP2A,DNAH7,8
KIF13B,DNAH7,1
KRT79,DNAH7,8
MICALL2,DNAH7,8
NPHP3,DNAH7,6
RAD51AP1,DNAH7,5
RP1,DNAH7,8
AGRN,FHOD3,8
DIP2A,FHOD3,8
KIF13B,FHOD3,7
KRT79,FHOD3,8
MICALL2,FHOD3,8
NPHP3,FHOD3,7
RAD51AP1,FHOD3,6
RP1,FHOD3,7
DNAH7,FHOD3,6
AGRN,HSPG2,0
DIP2A,HSPG2,6
KIF13B,HSPG2,7
KRT79,HSPG2,8
MICALL2,HSPG2,6
NPHP3,HSPG2,8
RAD51AP1,HSPG2,8
RP1,HSPG2,6
DNAH7,HSPG2,8
FHOD3,HSPG2,8
AGRN,LEFTY2,1
DIP2A,LEFTY2,6
KIF13B,LEFTY2,7
KRT79,LEFTY2,8
MICALL2,LEFTY2,5
NPHP3,LEFTY2,8
RAD51AP1,LEFTY2,8
RP1,LEFTY2,6
DNAH7,LEFTY2,8
FHOD3,LEFTY2,8
HSPG2,LEFTY2,1
AGRN,NCKAP5L,8
DIP2A,NCKAP5L,8
KIF13B,NCKAP5L,3
KRT79,NCKAP5L,8
MICALL2,NCKAP5L,8
NPHP3,NCKAP5L,7
RAD51AP1,NCKAP5L,5
RP1,NCKAP5L,8
DNAH7,NCKAP5L,2
FHOD3,NCKAP5L,6
HSPG2,NCKAP5L,8
LEFTY2,NCKAP5L,8
AGRN,NOTCH4,4
DIP2A,NOTCH4,6
KIF13B,NOTCH4,7
KRT79,NOTCH4,8
MICALL2,NOTCH4,6
NPHP3,NOTCH4,8
RAD51AP1,NOTCH4,8
RP1,NOTCH4,6
DNAH7,NOTCH4,8
FHOD3,NOTCH4,8
HSPG2,NOTCH4,4
LEFTY2,NOTCH4,4
NCKAP5L,NOTCH4,8
