Compound_notsevere,Compound_severe,Compound_severe_only,CNVs_notsevere,CNVs_severe,CNVs_severeonly,CMS_causal_genes
DDIAS,CHGB,CHGB,GGNBP2,USH2A,USH2A,AGRN
AHNAK2,UNC13C,UNC13C,SYNGR,UBE2D1,UBE2D1,ALG14
PLEKHA4,USP8,USP8,MSR1,ACOT2,ACOT2,ALG2
LMO7,AHNAK2,MYBPC2,PDPR,ATAD3B,ATAD3B,CHAT
MUC3A,DNAAF1,NAT8B,PRODH,CLCNKB,CLCNKB,CHRNA1
C14orf159,OTOP1,PRRT3,RLN1,CASP12,CASP12,CHRNB1
LARP7,MUC3A,SIGLEC12,TADA2A,PSG5,PSG5,CHRND
MTUS1,VWA5B2,DNAAF1,AATF,ZNF705B,ZNF705B,CHRNE
USP17L2,SLFN13,AMPD1,DHRS11,DEFB115,DEFB115,CHRNG
FLG2,OBSCN,OTOP1,ZNHI3,ATAD3C,ATAD3C,COL13A1
LRFN3,GRIN3B,PTPN14,HNF1B,PRODH,,COLQ
OBSCN,ACOT2,BAIAP3,MRM1,RLN1,,DOK7
ARMC5,AGRN,VWA5B2,GINS2,LYZL2,,DPAGT1
ZNF836,TOR2A,SLFN13,LHX1,OR4K2,,GFPT1
CNTN3,ZNF273,NKPD1,VPS13B,RP11-1407015.2,,GMPPB
ADAM8,TNXB,VCAN,MICAL2,OR4M1,,LAMA5
OR52E6,LRP2,GRIN3B,ANKRD36,OR4Q3,,LAMB2
TLN2,FGL1,CFHR5,GOLGA1,DGCR6,,LRP4
MROH2B,WDSUB1,ACOT2,MYO19,FAM167A-AS1,,MUSK
ITIH5,ZAN,C1GALT1C1L,DDX52,CLCNKB,,MYO9A
GOT1L1,TNC,AGRN,FAHD2B,CASP12,,PLEC
VTCN1,LOXL3,TOR2A,LYZL2,ORM1,,PREPL
ODF3B,BAHCC1,SPTBN5,C16orf74,OR1D5,,RAPSN
ZAN,CDH3,SLC44A4,LOC102725072,AL590452.1,,RPH3A
NOL8,MICALL2,DNAH3,DUSP14,,,SCN4A
PHRF1,NPHP3,TNXB,TPCN2,,,SLC18A3
KRT6A,MYH15,ZNF273,AKNAD1,,,SLC25A1
BAHCC1,MUC4,LRP2,ALPP,,,SLC5A7
TMEM247,FAAP100,C2CD3,ALPPL2,,,SNAP25
ADGRA2,SRMS,FGL1,OR4K2,,,SYT2
CREB3L4,MUC17,ABCB5,C17orf78,,,UNC13B
ASB10,DNAH17,WDSUB1,FGGY,,,VAMP1
HMCN1,MUC19,ZC3H3,RP11-1407O15.2,,,
HMCN2,FAM205A,DNAH7,OR4N2,,,
PMS2,NBEA,TNC,OR4M1,,,
SPATA6L,TDRD6,ETV3L,DEFB103A,,,
DNAH11,RPL3L,LOXL3,FUT2,,,
LMAN1L,HSPG2,RAD51AP1,DEFB104B,,,
MUC17,PPFIBP2,CDH3,ANXA2R,,,
MCAM,SELENOO,CASP5,DPY19L2,,,
IQCA1L,SMTN,MICALL2,SELENOW,,,
MUC19,DMXL2,LBP,OR4Q3,,,
DDX55,ANKRD18A,NPHP3,DGCR6,,,
HLA-A,ZNF778,MYH15,FAM167A-AS1,,,
TDRD6,CFB,MROH7,PIGW,,,
WNK1,FBN2,MUC4,PBX1,,,
BIN2,NOTCH4,FAAP100,DEFB131,,,
FASN,ANKRD12,NCKAP5L,DEFB105B,,,
RADIL,CES5A,LEFTY2,DEFB106B,,,
ANKRD18A,PLB1,SRMS,POTEG,,,
MFSD4B,CHTF18,DNAH17,ARHGAP11B,,,
COL6A5,RPTN,MYO10,HBA2,,,
PADI3,KIAA1109,FAM205A,ZDHHC11,,,
FAT4,CDH23,KRT79,TBC1D3,,,
TLR10,FHAD1,NBEA,DEFB107B,,,
DNAH10,GFY,TIAM1,FAM231D,,,
MUC22,ATP6V0A4,RPL3L,RP11-1396O31.13,,,
CFAP57,MUC16,CHIT1,XKR9,,,
FBN2,MYBPC2,HSPG2,USP17L15,,,
BLK,PRRT3,PPFIBP2,USP17L5,,,
FLG,NAT8B,SELENOO,USP17L12,,,
MYOM2,SIGLEC12,RP1,USP17L30,,,
LRRFIP1,AMPD1,SMTN,ORM1,,,
NUMA1,PTPN14,DMXL2,USP17L26,,,
TMTC1,BAIAP3,ZNF778,FAM90A26,,,
C10orf120,NKPD1,OR10G9,USP17L25,,,
EPS8,VCAN,ZP4,USP17L28,,,
CHTF18,CFHR5,CFB,USP17L10,,,
FAM186A,CRELD1,NOTCH4,USP17L29,,,
TRPM1,C1GALT1C1L,SLC28A1,USP17L24,,,
AMDHD1,HLA-DQB2,MCM8,USP17L13,,,
