gene	whole_gene	NEW0937	NEW0934	NEW0933	NEW0932	NEW0930	NEW0929	NEW0928	NEW0927	NEW0907	NEW0923	NEW0936	NEW0935	NEW0909	NEW0908	NEW0922	NEW0920	NEW0919	NEW0918	NEW0931	NEW0921
ENSG00000005955	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000006114	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000038945	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
ENSG00000042781	FALSE	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
ENSG00000072401	FALSE	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
ENSG00000090857	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
ENSG00000100033	TRUE	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2
ENSG00000100033	TRUE	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000107018	TRUE	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3
ENSG00000108264	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000108270	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000108272	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000108278	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000108753	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000119673	TRUE	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000129282	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000131153	FALSE	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000132130	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000132549	FALSE	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000133816	FALSE	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000135976	TRUE	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000136935	FALSE	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000141140	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000141141	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000144199	TRUE	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000151033	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1
ENSG00000154102	FALSE	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000160072	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2
ENSG00000161103	TRUE	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2
