"Community ID","CommunityLength","InterestingGenesLength","LargestComponentInteractome","LargestComponentMetabolome","LargestComponentReactome","SubgraphInteractomeLength","SubgraphMetabolomeLength","SubgraphReactomeLength","LambaInteractome","LambaMetabolome","LambaReactome","ResolutionParameter"
2,18481,9,18016,1863,10261,18018,1863,10592,0.999888999889,1,0.96875,0
3,11028,1,10841,1749,5576,10859,1749,5925,0.998342388801916,1,0.941097046413502,0.5
5,6387,8,6242,81,3629,6283,114,3729,0.993474454878243,0.710526315789474,0.973183159023867,0.5
2,4098,1,4004,809,1762,4037,810,2180,0.991825613079019,0.998765432098765,0.808256880733945,1
7,4695,5,4635,126,2711,4667,128,2749,0.993143346903793,0.984375,0.986176791560567,1
8,859,3,778,178,400,844,178,575,0.921800947867299,1,0.695652173913043,1
27,459,2,426,11,55,449,13,175,0.948775055679287,0.846153846153846,0.314285714285714,1.5
53,2223,4,2185,37,1362,2208,39,1401,0.989583333333333,0.948717948717949,0.972162740899358,1.5
60,1281,1,1244,17,687,1275,19,719,0.975686274509804,0.894736842105263,0.955493741307371,1.5
63,687,1,648,32,336,680,32,417,0.952941176470588,1,0.805755395683453,1.5
110,822,1,796,22,435,805,22,475,0.988819875776398,1,0.91578947368421,1.5
14,852,1,843,26,478,849,27,516,0.992932862190813,0.962962962962963,0.926356589147287,2
36,806,2,801,15,254,804,19,342,0.996268656716418,0.789473684210526,0.742690058479532,2
51,1817,3,1759,33,1008,1798,34,1061,0.978309232480534,0.970588235294118,0.95004712535344,2
70,110,2,109,4,22,110,4,44,0.990909090909091,1,0.5,2
94,212,1,159,145,60,207,147,152,0.768115942028985,0.986394557823129,0.394736842105263,2
20,707,1,698,20,373,702,20,412,0.994301994301994,1,0.905339805825243,2.5
71,344,1,341,8,70,344,8,124,0.991279069767442,1,0.564516129032258,2.5
99,143,2,131,8,22,143,8,72,0.916083916083916,1,0.305555555555556,2.5
166,315,1,267,85,105,313,88,224,0.853035143769968,0.965909090909091,0.46875,2.5
178,104,1,84,11,33,103,12,42,0.815533980582524,0.916666666666667,0.785714285714286,2.5
342,901,3,863,17,550,897,18,580,0.962095875139353,0.944444444444444,0.948275862068966,2.5
162,147,2,133,6,22,147,7,74,0.904761904761905,0.857142857142857,0.297297297297297,3
226,96,1,76,9,40,95,10,43,0.8,0.9,0.930232558139535,3
341,565,2,550,14,259,562,16,280,0.97864768683274,0.875,0.925,3
454,814,4,776,21,548,812,22,572,0.955665024630542,0.954545454545455,0.958041958041958,3
216,148,2,138,5,23,148,6,69,0.932432432432432,0.833333333333333,0.333333333333333,3.5
223,459,1,448,8,136,458,9,167,0.978165938864629,0.888888888888889,0.81437125748503,3.5
297,108,1,69,9,60,106,10,62,0.650943396226415,0.9,0.967741935483871,3.5
390,87,1,82,7,57,86,7,67,0.953488372093023,1,0.850746268656716,3.5
573,779,4,742,15,528,778,16,552,0.953727506426735,0.9375,0.956521739130435,3.5
158,269,1,255,9,160,268,11,208,0.951492537313433,0.818181818181818,0.769230769230769,4
219,263,1,259,6,65,263,6,112,0.984790874524715,1,0.580357142857143,4
290,153,2,142,5,22,153,6,71,0.928104575163399,0.833333333333333,0.309859154929577,4
380,49,1,28,8,35,48,9,37,0.583333333333333,0.888888888888889,0.945945945945946,4
492,681,4,644,13,453,679,15,474,0.948453608247423,0.866666666666667,0.955696202531646,4
